,selection1_product_mane_name,selection1_product_mane_url,selection1_product_name_price,selection1_product_mane_confirmation_time,selection1_product_mane_review_score,selection1_product_mane_number_of_review,selection1_product_mane_cancelation_policy,package_name,package_price
戶外活動,,,,,,,,露營車（週日至週五入住）,216.75
戶外活動,,,,,,,,露營帳（週六、連續假期入住）,312.38
戶外活動,,,,,,,,露營車（週六、連續假期入住）,312.38
戶外活動,【花蓮古道健行】太魯閣錐麓古道健行一日遊（中、英文導遊）,https://www.kkday.com/zh-tw/product/20522,31.85,1個工作日內確認,4.6,-46,3天前可免費取消,中文導遊,31.85
戶外活動,,,,,,,,英文導遊,31.85
戶外活動,【飛吧，翱翔天際】南投飛行傘體驗,https://www.kkday.com/zh-tw/product/4620,89.25,2個工作日內確認,4.9,-69,有條件取消,埔里飛行傘體驗（包含接送）,89.25
戶外活動,【北海岸深澳象鼻岩水上活動】獨木舟＋浮潛體驗,https://www.kkday.com/zh-tw/product/24654,52.59,1個工作日內確認,5,-3,,單人大人費用,52.59
戶外活動,,,,,,,,單人大人＋單人兒童費用,52.59
戶外活動,【墾丁流行水上活動】站立式划槳SUP運動＋浮潛行程體驗,https://www.kkday.com/zh-tw/product/22110,58.97,1個工作日內確認,4.8,-20,,站立式划槳SUP運動體驗＋浮潛行程,58.97
戶外活動,【2019金針花季】花蓮六十石山／赤柯山專屬包車一日遊,https://www.kkday.com/zh-tw/product/29131,105.19,1個工作日內確認,5,-3,,六十石山包車一日遊（五人座車）,121.13
戶外活動,,,,,,,,六十石山包車一日遊（七人座車）,137.06
戶外活動,,,,,,,,六十石山包車一日遊（九人座車）,172.13
戶外活動,,,,,,,,赤柯山包車一日遊（五人座車）,105.19
戶外活動,,,,,,,,赤柯山包車一日遊（七人座車）,117.94
戶外活動,,,,,,,,赤柯山包車一日遊（九人座車）,162.57
戶外活動,【宜蘭網美一日遊】小奈良斑比山丘、頭城濱海森林公園,https://www.kkday.com/zh-tw/product/27538,50.97,2個工作日內確認,4.6,-8,有條件取消,週一至週五出發,50.97
戶外活動,,,,,,,,週六、日出發,54.16
戶外活動,【高雄國際級纜繩滑水】蓮池潭滑水主題樂園體驗門票,https://www.kkday.com/zh-tw/product/23797,15.94,立即確認並發送憑證,5,-4,免費取消！,滑水2小時體驗,15.94
戶外活動,,,,,,,,滑水全天體驗,23.91
戶外活動,【台中泡湯熱門新選擇】台中日光溫泉度假酒店 - 獨立湯屋,https://www.kkday.com/zh-tw/product/21020,50.36,立即確認並發送憑證,4.7,-6,有效期內任何一天使用,雙人湯屋-平日,50.36
戶外活動,,,,,,,,雙人湯屋-假日,63.11
戶外活動,,,,,,,,雙人湯屋＋自助式下午茶2客-平日,66.94
戶外活動,,,,,,,,雙人湯屋＋自助式下午茶2客-假日,79.69
戶外活動,,,,,,,,雙人湯屋＋自助式午／晚餐1客-平日,79.69
戶外活動,,,,,,,,雙人湯屋＋自助式午／晚餐1客-假日,92.44
戶外活動,【台北必玩飛行體驗】i-Ride TAIPEI飛行劇院體驗門票,https://www.kkday.com/zh-tw/product/28750,12.75,立即確認並發送憑證,4.3,-13,免費取消！,i-Ride TAIPEI飛越系列影片·單人門票,12.75
戶外活動,【夏日前進火燒島】綠島浮潛兩天一夜套裝行程,https://www.kkday.com/zh-tw/product/2409,104.87,1個工作日內確認,4.2,-13,有條件取消,平日出發：2-3人房,114.44
戶外活動,,,,,,,,平日出發：4-5人房,108.06
戶外活動,,,,,,,,平日出發：6-10人房,104.87
戶外活動,,,,,,,,假日出發：2-3人房,127.19
戶外活動,,,,,,,,假日出發：4-5人房,117.62
戶外活動,,,,,,,,假日出發：6-10人房,114.44
戶外活動,【悠遊山林秘境】嘉義阿里山森林遊樂園電子門票,https://www.kkday.com/zh-tw/product/25768,6.38,立即確認並發送憑證,3,-2,不可取消,成人門票,6.38
戶外活動,【台北美景一覽無遺】大直美麗華百樂園摩天輪電子門票,https://www.kkday.com/zh-tw/product/26672,4.11,立即確認並發送憑證,4.8,-28,不可取消,美麗華摩天輪【單人門票】,4.43
戶外活動,,,,,,,,美麗華摩天輪【雙人套票】,4.11
